date,close,volume,open,high,low
02/26/2025,$426.27,"638,491",$424.82,$429.82,$424.76
02/25/2025,$426.47,"893,762",$424.46,$428.44,$421.51
02/24/2025,$420.70,"712,890",$421.05,$424.25,$418.99
02/21/2025,$421.90,"1,180,054",$432.73,$433.16,$420.14
02/20/2025,$434.51,"988,409",$439.07,$439.52,$430.16
02/19/2025,$439.08,"1,397,622",$426.00,$439.31,$426.00
02/18/2025,$425.98,"1,674,500",$434.96,$439.64,$423.79
02/14/2025,$438.14,"1,545,196",$471.05,$472.58,$436.83
02/13/2025,$466.05,"1,369,560",$467.02,$470.59,$461.39
02/12/2025,$466.90,"718,689",$467.995,$472.62,$463.27
02/11/2025,$474.58,"552,639",$481.00,$481.00,$473.01
02/10/2025,$481.76,"634,855",$480.00,$484.73,$478.7275
02/07/2025,$479.31,"426,766",$483.45,$485.97,$478.33
02/06/2025,$482.10,"345,931",$482.05,$483.175,$478.2901
02/05/2025,$481.02,"494,603",$475.47,$481.22,$471.50
02/04/2025,$471.38,"622,125",$470.03,$473.54,$468.745
02/03/2025,$473.37,"889,595",$465.47,$474.10,$463.20
01/31/2025,$469.25,"691,694",$472.84,$473.89,$467.313
01/30/2025,$472.61,"545,082",$468.76,$475.105,$468.5293
01/29/2025,$463.41,"630,285",$465.94,$469.84,$463.26
01/28/2025,$465.24,"706,362",$468.28,$471.10,$463.4577
01/27/2025,$468.27,"1,316,869",$476.58,$482.15,$465.72
01/24/2025,$479.18,"866,575",$474.31,$480.805,$474.31
01/23/2025,$476.05,"600,367",$472.61,$476.29,$469.3975
01/22/2025,$471.92,"848,109",$469.80,$475.20,$466.20
01/21/2025,$467.84,"976,460",$467.44,$468.17,$464.82
01/17/2025,$464.86,"621,315",$466.15,$468.34,$462.89
01/16/2025,$462.70,"460,564",$462.68,$465.64,$461.12
01/15/2025,$460.08,"812,351",$462.88,$464.999,$457.10
01/14/2025,$460.84,"512,043",$457.86,$461.3299,$454.32
01/13/2025,$456.77,"917,395",$452.46,$458.85,$452.2278
01/10/2025,$455.26,"604,399",$459.12,$461.025,$453.785
01/08/2025,$462.73,"719,776",$456.49,$463.00,$455.93
01/07/2025,$455.15,"856,951",$458.92,$462.9099,$454.68
01/06/2025,$456.45,"1,179,790",$459.90,$460.50,$450.18
01/03/2025,$461.84,"525,618",$460.81,$463.509,$458.76
01/02/2025,$459.23,"570,890",$464.86,$465.22,$457.71
12/31/2024,$462.23,"455,355",$463.76,$464.9841,$460.37
12/30/2024,$463.59,"422,835",$462.93,$465.74,$459.26
12/27/2024,$467.33,"364,829",$468.42,$470.62,$465.57
12/26/2024,$471.31,"292,348",$470.46,$472.075,$468.75
12/24/2024,$472.45,"235,380",$469.96,$472.46,$468.29
12/23/2024,$469.77,"652,462",$468.94,$470.245,$463.5954
12/20/2024,$469.94,"2,508,271",$461.03,$472.57,$460.00
12/19/2024,$463.81,"897,695",$464.48,$469.95,$462.975
12/18/2024,$462.68,"1,274,859",$465.12,$468.26,$460.03
12/17/2024,$461.75,"1,544,405",$463.97,$466.035,$460.13
12/16/2024,$467.26,"1,159,991",$470.13,$472.3694,$465.31
12/13/2024,$469.79,"984,277",$471.44,$472.40,$466.30
12/12/2024,$469.92,"1,142,906",$480.39,$482.69,$468.78
12/11/2024,$478.11,"985,144",$477.95,$482.67,$476.11
12/10/2024,$477.02,"997,793",$479.27,$482.26,$475.73
12/09/2024,$478.91,"1,460,381",$487.77,$488.67,$476.14
12/06/2024,$489.96,"1,510,645",$492.49,$495.00,$485.7127
12/05/2024,$494.97,"1,278,491",$497.04,$500.86,$494.29
12/04/2024,$497.87,"1,047,544",$497.19,$500.28,$495.77
12/03/2024,$497.76,"697,173",$496.70,$498.31,$493.09
12/02/2024,$496.70,"818,495",$498.62,$499.79,$495.44
11/29/2024,$499.70,"460,651",$502.06,$503.62,$499.185
11/27/2024,$500.66,"755,669",$496.50,$502.19,$496.05
11/26/2024,$496.58,"611,077",$496.47,$498.00,$491.03
11/25/2024,$488.37,"2,619,876",$500.61,$502.025,$487.19
11/22/2024,$500.90,"520,517",$497.14,$502.46,$496.37
11/21/2024,$494.84,"688,968",$494.66,$496.2712,$491.30
11/20/2024,$492.60,"588,912",$489.96,$493.52,$485.18
11/19/2024,$487.46,"484,333",$487.81,$489.94,$484.53
11/18/2024,$490.35,"664,306",$488.63,$494.38,$486.61
11/15/2024,$489.00,"726,244",$489.50,$494.52,$487.1592
11/14/2024,$493.70,"553,772",$496.00,$498.78,$492.305
11/13/2024,$496.70,"543,473",$497.00,$499.81,$493.43
11/12/2024,$497.45,"750,884",$500.36,$501.7493,$493.01
11/11/2024,$496.96,"806,002",$506.00,$507.82,$496.92
11/08/2024,$504.60,"1,185,681",$486.055,$506.72,$484.39
11/07/2024,$469.95,"795,158",$470.23,$471.61,$465.955
11/06/2024,$469.13,"742,541",$479.28,$479.78,$464.417
11/05/2024,$462.09,"551,400",$458.07,$462.955,$458.07
